1	Система запущена	BLUE
2	Режим:   ГП со щита	BLUE
3	Режим: ГП с пульта	BLUE
4	Режим:   ГП  ДУ	BLUE
5	Режим:   МП со щита	BLUE
6	Режим:   МП с пульта	BLUE
7	Режим:   Тест	BLUE
8	Режим:   Раcтормаживание           	BLUE
9	Режим:   Выбег                     	BLUE
10	Система остановлена                	BLUE
11	Включен аварийный тормоз           	RED
12	Поступила команда СТОП             	BLACK
13	Останов! Обрыв блокировочной цепи  	RED
14	Останов! Отключился контактор КТ  	RED
15	Останов! Отключился контактор КД  	RED
16	Останов! Отключился контактор КУ1 	RED
17	Останов! Отключился контактор КУ2 	RED
18	Останов! Отключился контактор КУ3 	RED
19	Останов! Отключился контактор КУ4 	RED
20	Останов! Отключился контактор КВ  	RED
21	Останов! Отключился контактор КН	RED
22	Выполнена команда СТОП             	BLACK
23	Поступила команда ВВЕРХ            	BLACK
24	Ошибка! Команда ВВЕРХ возможна только из  СТОП	GREEN
25	Ошибка! Не включен режим управления  ГП 	GREEN
26	Ошибка! Включен автомат МП (QF2)   	GREEN
27	Ошибка! Не включен рубильник ГП (QS1)	GREEN
28	Ошибка! Не переведен блок-контакт БМ в положение ГП	GREEN
29	Ошибка! Выведен из строя рабочий тормоз!   	GREEN
30	ВВЕРХ! Нет блокировочной цепи:     	RED
31	ВВЕРХ! Не сработал контактор КД    	RED
32	ВВЕРХ! Не сработал контактор КТ    	RED
33	ВРХ! Не сработал контактор КВ    	RED
34	ВВЕРХ! Останов во время разгона 1 ступени 	RED
35	ВВЕРХ! Не сработал контактор КУ1   	RED
36	ВВЕРХ! Останов во время разгона 2 ступени 	RED
37	ВВЕРХ! Не сработал контактор КУ2   	RED
38	ВВЕРХ! Останов во время разгона 3 ступени 	RED
39	ВВЕРХ! Не сработал контактор КУ3   	RED
40	ВВЕРХ! Останов во время разгона 4 ступени 	RED
41	ВВЕРХ! Не сработал контактор КУ4   	RED
42	Команда ВВЕРХ выполнена успешно    	BLACK
43	Поступила команда ВНИЗ             	BLACK
44	Ошибка ! Команда ВНИЗ возможна только из  СТОП	GREEN
45	ВНИЗ! Нет блокировочной цепи:      	RED
46	ВНИЗ! Не сработал контактор КД     	RED
47	ВНИЗ! Не сработал контактор КТ     	RED
48	ВНИЗ! Не сработал контактор КН     	RED
49	ВНИЗ! Останов во время разгона 1 ступени	RED
50	ВНИЗ! Не сработал контактор КУ1    	RED
51	ВНИЗ! Останов во время разгона 2 ступени	RED
52	ВНИЗ! Не сработал контактор КУ2    	RED
53	ВНИЗ! Останов во время разгона 3 ступени	RED
54	ВНИЗ! Не сработал контактор КУ3    	RED
55	ВНИЗ! Останов во время разгона 4 ступени	RED
56	ВНИЗ! Не сработал контактор КУ4    	RED
57	Команда ВНИЗ выполнена успешно     	BLACK
58	Ошибка! Не включен режим управления МП	GREEN
59	Ошибка! Включен рубильник ГП (QS1) 	GREEN
60	Ошибка! Не включен автомат МП (QF2)	GREEN
61	Ошибка! Не переведен блок-контакт БМ в положение МП	GREEN
62	МП ВВЕРХ! Нет блокировочной цепи   	RED
63	МП ВВЕРХ! Не сработал контактор КД 	RED
64	МП ВВЕРХ! Не сработал контактор КТ 	RED
65	МП ВВЕРХ! Не сработал контактор КВ 	RED
66	МП! Поступила команда ВВЕРХ  	BLACK
67	Для данного режима разомкнута блокировочная цепь 	BLACK
68	ОСТАНОВ! Блок-контакт входной площадки нижней  	RED
